"expr" "time"
"1" "map_dbl(1:170, Factorial_mem)" 1487962
"2" "mapply(Factorial_reduce, 1:170)" 535537
"3" "mapply(Factorial_reduce, 1:170)" 482814
"4" "mapply(Factorial_reduce, 1:170)" 506212
"5" "mapply(Factorial_reduce, 1:170)" 689060
"6" "map_dbl(1:170, Factorial_mem)" 1383905
"7" "mapply(Factorial_func, 1:170)" 32062924
"8" "map_dbl(1:170, Factorial_mem)" 1391215
"9" "mapply(Factorial_func, 1:170)" 34018564
"10" "map_dbl(1:170, Factorial_mem)" 1256698
"11" "mapply(Factorial_func, 1:170)" 32341184
"12" "map_dbl(1:170, Factorial_mem)" 1342635
"13" "map_dbl(1:170, Factorial_mem)" 1281613
"14" "mapply(Factorial_reduce, 1:170)" 503081
"15" "mapply(Factorial_loop, 1:170)" 4306108
"16" "mapply(Factorial_loop, 1:170)" 6321124
"17" "mapply(Factorial_reduce, 1:170)" 491101
"18" "mapply(Factorial_func, 1:170)" 28862106
"19" "mapply(Factorial_reduce, 1:170)" 472495
"20" "mapply(Factorial_func, 1:170)" 31582758
"21" "mapply(Factorial_loop, 1:170)" 4119026
"22" "mapply(Factorial_reduce, 1:170)" 451633
"23" "mapply(Factorial_reduce, 1:170)" 447834
"24" "mapply(Factorial_loop, 1:170)" 3974808
"25" "mapply(Factorial_reduce, 1:170)" 420901
"26" "mapply(Factorial_loop, 1:170)" 3919432
"27" "mapply(Factorial_reduce, 1:170)" 420543
"28" "mapply(Factorial_func, 1:170)" 30824358
"29" "map_dbl(1:170, Factorial_mem)" 1468766
"30" "mapply(Factorial_func, 1:170)" 32801603
"31" "mapply(Factorial_func, 1:170)" 35097478
"32" "map_dbl(1:170, Factorial_mem)" 1266625
"33" "map_dbl(1:170, Factorial_mem)" 1199873
"34" "mapply(Factorial_func, 1:170)" 29336353
"35" "mapply(Factorial_loop, 1:170)" 4304083
"36" "map_dbl(1:170, Factorial_mem)" 1345649
"37" "map_dbl(1:170, Factorial_mem)" 1334259
"38" "map_dbl(1:170, Factorial_mem)" 1318329
"39" "mapply(Factorial_reduce, 1:170)" 480281
"40" "mapply(Factorial_reduce, 1:170)" 475021
"41" "map_dbl(1:170, Factorial_mem)" 1277385
"42" "mapply(Factorial_loop, 1:170)" 4335573
"43" "map_dbl(1:170, Factorial_mem)" 3167900
"44" "mapply(Factorial_loop, 1:170)" 3987620
"45" "mapply(Factorial_loop, 1:170)" 3898526
"46" "mapply(Factorial_func, 1:170)" 29073580
"47" "mapply(Factorial_func, 1:170)" 31356116
"48" "map_dbl(1:170, Factorial_mem)" 1270526
"49" "mapply(Factorial_loop, 1:170)" 4093613
"50" "map_dbl(1:170, Factorial_mem)" 1226408
"51" "mapply(Factorial_loop, 1:170)" 3981153
"52" "mapply(Factorial_reduce, 1:170)" 445423
"53" "mapply(Factorial_loop, 1:170)" 3946368
"54" "mapply(Factorial_func, 1:170)" 31601195
"55" "mapply(Factorial_loop, 1:170)" 3985210
"56" "map_dbl(1:170, Factorial_mem)" 1294972
"57" "mapply(Factorial_func, 1:170)" 29958030
"58" "map_dbl(1:170, Factorial_mem)" 1291192
"59" "mapply(Factorial_func, 1:170)" 31272003
"60" "mapply(Factorial_func, 1:170)" 31216123
"61" "mapply(Factorial_reduce, 1:170)" 498414
"62" "mapply(Factorial_reduce, 1:170)" 479178
"63" "mapply(Factorial_func, 1:170)" 32038064
